Status,Alte URL,Neue URL (Hugo),Klicks,Impressionen,HTTP Code
OK,https://kidslab.de/blog/demokratie-in-der-mincraft-welt-in-biberbach,/blog/demokratie-in-der-mincraft-welt-in-biberbach/,0,16,200
OK,https://kidslab.de/blog/robotics-feriencamp-sommerferien-2021-in-augsburg,/blog/robotics-feriencamp-sommerferien-2021-in-augsburg/,0,16,200
REDIRECT,https://kidslab.de/ideen/tinkercad-namensschild?print=1,/selber-machen/tinkercad-3d-design/,0,14,301
OK,https://kidslab.de/blog/workadventure,/blog/workadventure/,0,14,200
OK,https://kidslab.de/ideen/zukunftsmuseum,/ideen/zukunftsmuseum/,0,13,200
OK,https://kidslab.de/kurse/hebocon,/kurse/hebocon/,0,13,200
FEHLT,https://kidslab.de/blog/t:GamesLab,,0,12,404
REDIRECT,https://kidslab.de/projekte/jugendhackt/mentoring,/,0,11,301
OK,https://kidslab.de/blog/benutzung-des-video-chats,/blog/benutzung-des-video-chats/,0,11,200
OK,https://kidslab.de/blog/gamespreis-bester-side-scroller-rich-bird,/blog/gamespreis-bester-side-scroller-rich-bird/,0,11,200
REDIRECT,https://kidslab.de/ideen/lego-spike-einfuhrung,/selber-machen/lego-spike-mindstorms/,0,10,301
FEHLT,https://kidslab.de/blog/page:2,,0,9,404
OK,https://kidslab.de/blog/bossparents-brettspiel,/blog/bossparents-brettspiel/,0,8,200
OK,https://kidslab.de/kurse/baut-und-programmiert-einen-roboterarm,/kurse/baut-und-programmiert-einen-roboterarm/,0,7,200
OK,https://kidslab.de/blog/revolution-im-klassenzimmer-wie-ki-lehrkraeften-hilft-zeit-zu-sparen-und-den-unterricht-zu-verbessern,/blog/revolution-im-klassenzimmer-wie-ki-lehrkraeften-hilft-zeit-zu-sparen-und-den-unterricht-zu-verbessern/,0,7,200
REDIRECT,https://kidslab.de/ideen/das-flaschen-u-boot?print=1,/ideen/das-flaschen-u-boot/?print=1/,0,6,301
OK,https://kidslab.de/blog/zukunftstage-in-untermeitingen-jugendliche-gestalten-ihre-gemeinde-in-der-minecraft-welt,/blog/zukunftstage-in-untermeitingen-jugendliche-gestalten-ihre-gemeinde-in-der-minecraft-welt/,0,6,200
REDIRECT,https://kidslab.de/ideen/bastelanleitung-heisser-draht?print=1,/ideen/bastelanleitung-heisser-draht/?print=1/,0,5,301
OK,https://kidslab.de/blog/gamespreis-2-platz-pape-world,/blog/gamespreis-2-platz-pape-world/,0,5,200
OK,https://kidslab.de/blog/medien-drache-gemeinsames-3d-design,/blog/medien-drache-gemeinsames-3d-design/,0,5,200
FEHLT,https://kidslab.de/blog/t:3D-Druck,,0,5,404
OK,https://kidslab.de/blog/seifen-experiment-fuer-zuhause,/blog/seifen-experiment-fuer-zuhause/,0,5,200
OK,https://kidslab.de/ideen/swiftplayground,/ideen/swiftplayground/,0,5,200
OK,https://kidslab.de/blog/forschenhome,/blog/forschenhome/,0,5,200
OK,https://kidslab.de/projekte/gamespreis-2025/,/projekte/gamespreis-2025/,0,5,200
OK,https://kidslab.de/blog/lego-robotics-workshop-in-der-gs-marxheim,/blog/lego-robotics-workshop-in-der-gs-marxheim/,0,5,200
OK,https://kidslab.de/projekte/make-your-school,/projekte/make-your-school/,0,5,200
FEHLT,https://kidslab.de/kurse/ki-coding,,0,4,404
REDIRECT,https://kidslab.de/ideen/der-toast-brot-versuch?print=1,/ideen/der-toast-brot-versuch/?print=1/,0,4,301
OK,https://kidslab.de/blog/vortrag-zu-minecraft-auf-dem-36c3,/blog/vortrag-zu-minecraft-auf-dem-36c3/,0,4,200
REDIRECT,https://kidslab.de/ideen?category=strom-superstar,/ideen/?category=strom-superstar/,0,4,301
FEHLT,https://kidslab.de/blog/t:Minecraft,,0,4,404
OK,https://kidslab.de/blog/heisser-draht-level-2,/blog/heisser-draht-level-2/,0,3,200
REDIRECT,https://kidslab.de/ideen/minecraft-turtles-level2,/minecraft/selber-machen/,0,3,301
OK,https://kidslab.de/blog/kostenloser-online-workshop-zum-welt-papierflieger-tag,/blog/kostenloser-online-workshop-zum-welt-papierflieger-tag/,0,3,200
